ID,Lat,Lon,h,FA
317,25.2286,32.64383,82.54,9.98223
318,25.19917,32.69323,83.33,12.04491
319,25.29046,25.55738,457.96,-24.63717
320,25.29141,27.11798,440.82,-29.63891
322,25.27849,27.84388,388.37,-22.63934
323,25.30759,29.53402,169.76,-14.89039
324,25.26599,29.63974,191.74,-17.57721
325,25.25338,30.07738,203.61,6.92226
326,25.27799,30.13068,208.16,7.92246
327,25.30437,30.18234,196.4,5.04686
335,25.3194,32.5681,82.12,3.42038
336,25.39854,25.54606,435.77,-23.88776
337,25.41318,27.08158,415.49,-27.20036
338,25.34367,27.10236,440.55,-26.38815
339,25.38328,27.81007,358.5,-26.70108
340,25.37742,29.41387,150.71,-23.76463
341,25.34583,29.46035,177.14,-19.89026
342,25.33668,30.29363,186.85,-3.51564
343,25.36106,30.34414,140.14,-11.07766
344,25.38108,30.47864,97.8,-9.45232
348,25.45055,25.34266,419.72,-22.01255
349,25.46546,27.0712,409.74,-25.76366
350,25.48447,27.39182,399.47,-24.88847
351,25.43529,27.79344,352.41,-29.70035
352,25.44251,29.35857,140.56,-20.89018
354,25.43725,32.54378,81.37,-20.26693
355,25.50466,25.33793,408.26,-24.69918
356,25.56101,25.53462,396.14,-25.88665
357,25.51807,27.0519,392.43,-24.57552
358,25.53693,27.377,382.33,-28.57528
359,25.53929,27.76013,339.06,-32.20007
360,25.53388,28.95271,99.96,-24.01428
361,25.523,29.06873,115.07,-26.70178
362,25.54195,29.18202,133.64,-20.26431
363,25.53739,29.27719,122.96,-23.88984
364,25.55593,30.62984,55.91,3.35936
366,25.54436,32.27329,214.99,43.23382
367,25.56786,32.38082,111.73,10.29679
368,25.55918,32.4553,79.05,-0.7042
369,25.61529,25.53327,385.65,-20.76176
370,25.62303,27.02244,394.05,-32.51275
371,25.62805,27.35111,368.51,-33.63773
372,25.66072,27.72155,315.76,-45.1379
373,25.59749,28.9098,96.23,-22.45079
374,25.62609,30.64198,61.16,0.85994
375,25.59847,32.53221,79.94,-15.5783
376,25.65738,32.63323,79.62,-9.45374
377,25.72384,25.53092,362.45,-12.94832
378,25.72865,26.99471,361.19,-36.26239
379,25.6757,27.00913,388.9,-35.13773
380,25.70671,27.32869,383.4,-32.6373
381,25.66738,27.33988,379.93,-33.69994
382,25.71266,27.705,316.48,-42.8877
383,25.71417,28.71387,160.14,-31.32572
384,25.69934,28.77114,130.67,-32.57591
385,25.69921,28.88556,112.7,-19.57538
386,25.69904,30.64664,75.32,3.73451
387,25.76456,25.53014,355.21,-16.63657
388,25.78103,26.97959,377.82,-29.44962
389,25.81254,27.30346,369.42,-29.01212
390,25.76476,27.68848,307.41,-40.69967
391,25.77909,28.63636,131.98,-28.57537
392,25.78078,29.46297,489.47,5.79893
